,"Proportion of deaths due to each cause, by sex and age group, Australia, 2017-2021, and 2022",,,,,,,,,,,,,
Year,Sex,Age,COVID,Influenza,Pneumonia,Other respiratory,Cancers,Ischaemic heart disease,Cerebrovascular diseases,Dementia including Alzheimers,Diabetes,External causes,Other causes,External & other
2017,Males,0-4,,0,0.010526316,0.013533835,0.028571429,0,0.001503759,0,0,0.073684211,0.872180451,
2017,Males,5-Sep,,0,0.03030303,0.075757576,0.287878788,0,0,0,0,0.348484848,0.257575758,
2017,Males,Oct-14,,0.022988506,0.022988506,0.034482759,0.149425287,0,0.022988506,0,0,0.413793103,0.333333333,
2017,Males,15-19,,0,0.006802721,0.010204082,0.102040816,0,0.006802721,0,0.003401361,0.731292517,0.139455782,
2017,Males,20-24,,0.001956947,0.003913894,0.009784736,0.062622309,0.001956947,0.005870841,0,0.005870841,0.792563601,0.115459883,
2017,Males,25-29,,0,0.003289474,0.006578947,0.070723684,0.011513158,0.011513158,0,0.006578947,0.754934211,0.134868421,
2017,Males,30-34,,0.001315789,0.005263158,0.007894737,0.106578947,0.035526316,0.011842105,0,0.011842105,0.672368421,0.147368421,
2017,Males,35-39,,0.001059322,0.006355932,0.012711864,0.128177966,0.059322034,0.014830508,0,0.014830508,0.566737288,0.195974576,
2017,Males,40-44,,0.004743083,0.007905138,0.014229249,0.16284585,0.081422925,0.022134387,0,0.02055336,0.456916996,0.229249012,
2017,Males,45-49,,0.001067806,0.006940737,0.025093433,0.234383342,0.128670582,0.030966364,0,0.021890016,0.305392419,0.245595302,
2017,Males,50-54,,0.002909393,0.007896924,0.027847049,0.346633416,0.139235245,0.027015794,0.001246883,0.024522028,0.173732336,0.248960931,
2017,Males,55-59,,0.003877042,0.005815564,0.037939629,0.399058433,0.145389089,0.029631681,0.003046248,0.02603157,0.117695929,0.231514816,
2017,Males,60-64,,0.002275078,0.011168563,0.05770424,0.46246122,0.12409514,0.02647363,0.006825233,0.029576008,0.064736298,0.214684592,
2017,Males,65-69,,0.004431315,0.010192024,0.062924668,0.465435746,0.121861152,0.032939439,0.015509601,0.037518464,0.04859675,0.200590842,
2017,Males,70-74,,0.004434338,0.010233087,0.090051165,0.438203525,0.123592951,0.04229676,0.029562251,0.036043206,0.033996589,0.191586128,
2017,Males,75-79,,0.004405708,0.011780481,0.09568049,0.389713629,0.121731635,0.054305143,0.048462791,0.034000575,0.028445551,0.211473997,
2017,Males,80-84,,0.007615036,0.015797148,0.091866494,0.318211277,0.127673364,0.060677252,0.078175632,0.037913156,0.034186649,0.227883992,
2017,Males,85-89,,0.007997118,0.024135447,0.091426513,0.243804035,0.14185879,0.071685879,0.104106628,0.031412104,0.037752161,0.245821326,
2017,Males,90-94,,0.01019443,0.035522859,0.083972675,0.191802417,0.152916448,0.073778245,0.119705728,0.03321072,0.041933789,0.25696269,
2017,Males,95+,,0.016055741,0.044834899,0.077249318,0.139048773,0.167524992,0.082399273,0.122387155,0.01817631,0.044834899,0.28748864,
2017,Females,0-4,,0.00733945,0.005504587,0.014678899,0.025688073,0,0,0,0,0.069724771,0.87706422,
2017,Females,5-Sep,,0,0,0.087719298,0.315789474,0,0.01754386,0,0.01754386,0.140350877,0.421052632,
2017,Females,Oct-14,,0.018867925,0,0.037735849,0.188679245,0,0.018867925,0,0,0.301886792,0.433962264,
2017,Females,15-19,,0.013071895,0,0.026143791,0.078431373,0,0,0,0,0.607843137,0.274509804,
2017,Females,20-24,,0.005681818,0.005681818,0.011363636,0.164772727,0.005681818,0.011363636,0,0.022727273,0.556818182,0.215909091,
2017,Females,25-29,,0.004115226,0.008230453,0.016460905,0.172839506,0.004115226,0,0,0.008230453,0.530864198,0.255144033,
2017,Females,30-34,,0.002881844,0.014409222,0.020172911,0.268011527,0.014409222,0.020172911,0,0.023054755,0.429394813,0.207492795,
2017,Females,35-39,,0.002066116,0.016528926,0.020661157,0.330578512,0.030991736,0.026859504,0,0.004132231,0.318181818,0.25,
2017,Females,40-44,,0.004160888,0.009708738,0.023578363,0.373092926,0.034674064,0.038834951,0,0.024965326,0.253814147,0.237170596,
2017,Females,45-49,,0.005314438,0.011514615,0.030115146,0.408325952,0.038086802,0.045172719,0.002657219,0.023029229,0.199291408,0.236492471,
2017,Females,50-54,,0.003094059,0.009282178,0.038985149,0.508663366,0.048267327,0.036509901,0.003094059,0.024752475,0.118193069,0.209158416,
2017,Females,55-59,,0.002205558,0.007940009,0.056462285,0.521835024,0.053815615,0.037494486,0.00264667,0.0304367,0.076312307,0.210851345,
2017,Females,60-64,,0.003697479,0.006386555,0.068571429,0.553613445,0.052436975,0.023193277,0.01210084,0.030252101,0.047394958,0.202352941,
2017,Females,65-69,,0.005656375,0.006599104,0.084374263,0.521093566,0.065519679,0.040065991,0.017911855,0.029460288,0.028753241,0.200565638,
2017,Females,70-74,,0.004352368,0.008182451,0.107416435,0.455431755,0.070508357,0.049094708,0.042130919,0.034296657,0.026114206,0.202472145,
2017,Females,75-79,,0.007255937,0.013192612,0.101583113,0.353562005,0.083509235,0.067941953,0.075461741,0.031926121,0.028100264,0.237467018,
2017,Females,80-84,,0.009822264,0.015809167,0.090551918,0.259775491,0.098316183,0.082881197,0.115996258,0.034518241,0.03152479,0.26080449,
2017,Females,85-89,,0.010519438,0.02195361,0.074746815,0.18327344,0.120418164,0.092453447,0.151061745,0.032603724,0.037569422,0.275400196,
2017,Females,90-94,,0.014173644,0.029006526,0.059727075,0.118728987,0.137451381,0.094205287,0.179906388,0.026699189,0.041466148,0.298635375,
2017,Females,95+,,0.014284055,0.04366508,0.051910347,0.069910579,0.159331088,0.101265823,0.190802462,0.019509929,0.041110208,0.308210429,
2018,Males,0-4,,0.001515152,0.009090909,0.006060606,0.027272727,0,0.003030303,0,0,0.054545455,0.898484848,
2018,Males,5-Sep,,0,0.019230769,0.057692308,0.192307692,0,0,0,0,0.326923077,0.403846154,
2018,Males,Oct-14,,0,0.025,0,0.2375,0,0,0,0,0.45,0.2875,
2018,Males,15-19,,0,0,0.013071895,0.055555556,0,0.013071895,0,0,0.794117647,0.124183007,
2018,Males,20-24,,0,0.005780347,0.011560694,0.053949904,0.003853565,0.005780347,0,0.005780347,0.80539499,0.107899807,
2018,Males,25-29,,0,0.001694915,0.011864407,0.084745763,0.011864407,0.005084746,0,0.011864407,0.744067797,0.128813559,
2018,Males,30-34,,0,0.006849315,0.016438356,0.115068493,0.026027397,0.010958904,0,0.019178082,0.639726027,0.165753425,
2018,Males,35-39,,0,0.00407332,0.009164969,0.143584521,0.061099796,0.022403259,0,0.010183299,0.573319756,0.176171079,
2018,Males,40-44,,0.003505697,0.003505697,0.018404908,0.176161262,0.089395267,0.024539877,0,0.015775635,0.460999124,0.207712533,
2018,Males,45-49,,0.001684447,0.006176305,0.025266704,0.266142617,0.117349803,0.025828186,0,0.022459293,0.306569343,0.228523302,
2018,Males,50-54,,0.001249479,0.007080383,0.030403998,0.332778009,0.139941691,0.02665556,0.001249479,0.026239067,0.190753853,0.24364848,
2018,Males,55-59,,0.000539957,0.00674946,0.046706263,0.40037797,0.137419006,0.028887689,0.002969762,0.031857451,0.125539957,0.218952484,
2018,Males,60-64,,0.000604717,0.006047168,0.050191494,0.460189478,0.133440839,0.030638984,0.009675469,0.031646845,0.074178593,0.203386414,
2018,Males,65-69,,0.001511031,0.006648534,0.067391961,0.483378664,0.123300091,0.037322454,0.012692656,0.03414929,0.043215473,0.190389846,
2018,Males,70-74,,0.000887705,0.0084332,0.080892144,0.449400799,0.120062139,0.042609854,0.026853085,0.03828229,0.034620506,0.197958278,
2018,Males,75-79,,0.000487187,0.010912988,0.091493715,0.400857449,0.119555685,0.052908506,0.051057196,0.035369775,0.030985092,0.206372406,
2018,Males,80-84,,0.000892133,0.01459854,0.088564477,0.335928629,0.120194647,0.06188159,0.083130576,0.035766423,0.036090835,0.222952149,
2018,Males,85-89,,0.000743052,0.022291574,0.085822559,0.258879477,0.141625799,0.066354585,0.105959281,0.029945014,0.038787338,0.249591321,
2018,Males,90-94,,0.000314729,0.036193873,0.085816198,0.192089803,0.155161561,0.069135543,0.125367184,0.027591272,0.049202686,0.259127151,
2018,Males,95+,,0.000903887,0.060259114,0.076529075,0.151551672,0.162699608,0.072913528,0.130762278,0.020789394,0.050918951,0.272672492,
2018,Females,0-4,,0.002057613,0.008230453,0.00617284,0.037037037,0,0.002057613,0,0,0.080246914,0.864197531,
2018,Females,5-Sep,,0.019607843,0,0.019607843,0.31372549,0,0.019607843,0,0,0.215686275,0.411764706,
2018,Females,Oct-14,,0,0,0.053571429,0.178571429,0,0.035714286,0,0,0.375,0.357142857,
2018,Females,15-19,,0.006535948,0,0.013071895,0.156862745,0.006535948,0.013071895,0,0,0.594771242,0.209150327,
2018,Females,20-24,,0.00591716,0.00591716,0.01183432,0.118343195,0.00591716,0,0,0.00591716,0.615384615,0.230769231,
2018,Females,25-29,,0,0.004524887,0.018099548,0.180995475,0.004524887,0.009049774,0,0.031674208,0.533936652,0.21719457,
2018,Females,30-34,,0,0.003095975,0.009287926,0.294117647,0.021671827,0.027863777,0,0.021671827,0.411764706,0.210526316,
2018,Females,35-39,,0,0.010040161,0.012048193,0.347389558,0.018072289,0.022088353,0,0.026104418,0.347389558,0.21686747,
2018,Females,40-44,,0.002849003,0.008547009,0.018518519,0.38034188,0.038461538,0.025641026,0.001424501,0.018518519,0.257834758,0.247863248,
2018,Females,45-49,,0,0.008144796,0.032579186,0.470588235,0.057918552,0.036199095,0.000904977,0.01719457,0.171040724,0.205429864,
2018,Females,50-54,,0.001256281,0.006281407,0.03580402,0.501256281,0.043341709,0.039572864,0.001884422,0.024497487,0.126884422,0.219221106,
2018,Females,55-59,,0.001707942,0.00469684,0.058070026,0.552519214,0.04824936,0.033304868,0.00469684,0.027327071,0.074295474,0.195132365,
2018,Females,60-64,,0.000960615,0.010246558,0.065001601,0.547230227,0.057636888,0.033301313,0.011847582,0.029138649,0.043227666,0.201408902,
2018,Females,65-69,,0.000720288,0.007202881,0.089555822,0.528211285,0.04969988,0.042737095,0.02304922,0.027130852,0.036254502,0.195438175,
2018,Females,70-74,,0.001029513,0.008064516,0.099691146,0.467741935,0.064344544,0.049245024,0.038606726,0.028140014,0.025737817,0.217398765,
2018,Females,75-79,,0.000667379,0.013080619,0.097437266,0.372397224,0.079551522,0.064602242,0.073144688,0.032434597,0.029364656,0.237319808,
2018,Females,80-84,,0.000772275,0.014962834,0.084081475,0.277150304,0.091707694,0.086398301,0.121633362,0.03214596,0.035331596,0.255816198,
2018,Females,85-89,,0.000833102,0.022424327,0.069911136,0.194737573,0.108650375,0.090877534,0.163565676,0.031588448,0.038253263,0.279158567,
2018,Females,90-94,,0.001289622,0.033258671,0.061766103,0.123803706,0.131269938,0.100590511,0.186248558,0.026946311,0.041539401,0.293287178,
2018,Females,95+,,0.001306879,0.044433884,0.055482951,0.08162053,0.144825947,0.100629678,0.20066532,0.018058691,0.038612332,0.314363788,
2019,Males,0-4,,0.004398827,0.007331378,0.01026393,0.030791789,0,0.002932551,0,0,0.070381232,0.873900293,
2019,Males,5-Sep,,0.014084507,0,0.028169014,0.394366197,0,0.014084507,0,0,0.211267606,0.338028169,
2019,Males,Oct-14,,0.012987013,0.012987013,0.025974026,0.116883117,0,0,0,0,0.363636364,0.467532468,
2019,Males,15-19,,0,0,0.011869436,0.06231454,0.005934718,0.002967359,0,0.008902077,0.774480712,0.133531157,
2019,Males,20-24,,0.003389831,0,0.005084746,0.074576271,0.003389831,0.003389831,0,0.006779661,0.794915254,0.108474576,
2019,Males,25-29,,0.002919708,0.002919708,0.00729927,0.089051095,0.013138686,0.008759124,0,0.011678832,0.677372263,0.186861314,
2019,Males,30-34,,0.003861004,0.002574003,0.007722008,0.124839125,0.030888031,0.018018018,0,0.012870013,0.629343629,0.16988417,
2019,Males,35-39,,0.003070624,0.004094166,0.008188332,0.152507677,0.057318321,0.013306039,0,0.015353122,0.564994882,0.181166837,
2019,Males,40-44,,0.001569859,0.010989011,0.015698587,0.177394035,0.095761381,0.025902669,0,0.019623234,0.411302983,0.241758242,
2019,Males,45-49,,0.004945598,0.005440158,0.019782394,0.235905045,0.128090999,0.023244313,0,0.024233432,0.296735905,0.261622156,
2019,Males,50-54,,0.003145891,0.005112072,0.033031852,0.321667322,0.135666536,0.031852143,0.000786473,0.025167125,0.192292568,0.251278018,
2019,Males,55-59,,0.003078502,0.005900462,0.042585942,0.377373012,0.153668548,0.027449974,0.003335044,0.028476142,0.116213443,0.241918933,
2019,Males,60-64,,0.005325987,0.00661157,0.052157943,0.448117539,0.129476584,0.028099174,0.006795225,0.031772268,0.077134986,0.214508724,
2019,Males,65-69,,0.002303484,0.007198388,0.066801037,0.456809675,0.130434783,0.032536712,0.014828678,0.03584797,0.045637777,0.207601497,
2019,Males,70-74,,0.003180662,0.007315522,0.08110687,0.447519084,0.12086514,0.037319763,0.026717557,0.033184902,0.036259542,0.206530958,
2019,Males,75-79,,0.00408608,0.010623808,0.090983383,0.392899301,0.113320621,0.048851357,0.050122582,0.033233451,0.032779442,0.223099973,
2019,Males,80-84,,0.005020157,0.014223777,0.089450065,0.3287442,0.118658249,0.054917472,0.082224082,0.034380467,0.036586293,0.235795238,
2019,Males,85-89,,0.005880666,0.021801492,0.083763626,0.259036145,0.124641423,0.06045611,0.110298336,0.034495123,0.044535284,0.255091796,
2019,Males,90-94,,0.00993154,0.028444702,0.079259474,0.202776974,0.144730499,0.062964034,0.128531482,0.031530229,0.050525504,0.261305564,
2019,Males,95+,,0.012635379,0.051572976,0.081743167,0.144404332,0.156266117,0.076070139,0.132284683,0.020887055,0.045642084,0.278494069,
2019,Females,0-4,,0.00589391,0.001964637,0.007858546,0.037328094,0,0.00589391,0,0,0.070726916,0.870333988,
2019,Females,5-Sep,,0,0.043478261,0.065217391,0.130434783,0,0,0,0,0.282608696,0.47826087,
2019,Females,Oct-14,,0.028985507,0,0.043478261,0.202898551,0,0.043478261,0,0,0.289855072,0.391304348,
2019,Females,15-19,,0.014388489,0,0.007194245,0.179856115,0,0.007194245,0,0,0.561151079,0.230215827,
2019,Females,20-24,,0,0.008888889,0.026666667,0.084444444,0,0.008888889,0,0,0.613333333,0.257777778,
2019,Females,25-29,,0.003610108,0,0.014440433,0.176895307,0.010830325,0.018050542,0,0.014440433,0.534296029,0.227436823,
2019,Females,30-34,,0,0.002915452,0.011661808,0.256559767,0.026239067,0.020408163,0,0.026239067,0.379008746,0.27696793,
2019,Females,35-39,,0.01372549,0.001960784,0.01372549,0.339215686,0.025490196,0.021568627,0,0.009803922,0.329411765,0.245098039,
2019,Females,40-44,,0.00135318,0.0135318,0.01894452,0.395128552,0.029769959,0.02435724,0,0.01759134,0.244925575,0.254397835,
2019,Females,45-49,,0,0.008613264,0.032730405,0.440137812,0.042204996,0.041343669,0.000861326,0.024978467,0.159345392,0.249784668,
2019,Females,50-54,,0.002609263,0.00456621,0.040443575,0.483365949,0.045009785,0.046966732,0,0.025440313,0.114155251,0.237442922,
2019,Females,55-59,,0.005423446,0.007509387,0.056737589,0.525657071,0.055486024,0.035878181,0.005423446,0.02711723,0.073842303,0.206925323,
2019,Females,60-64,,0.003958587,0.005785627,0.068514007,0.522838002,0.057247259,0.039890378,0.010657734,0.026492083,0.050243605,0.214372716,
2019,Females,65-69,,0.004835367,0.009210223,0.085194566,0.523831453,0.056412618,0.037992171,0.02348607,0.028551692,0.029933226,0.200552613,
2019,Females,70-74,,0.004421285,0.008053055,0.102952787,0.459024159,0.063477025,0.045002369,0.044844465,0.026527712,0.023053845,0.222643297,
2019,Females,75-79,,0.005291672,0.010205367,0.10129772,0.378606526,0.077359204,0.057074461,0.075343329,0.031372055,0.02935618,0.234093486,
2019,Females,80-84,,0.007056908,0.01881842,0.083597213,0.274767032,0.089116077,0.076721252,0.121776893,0.034108387,0.036098797,0.257939021,
2019,Females,85-89,,0.007637679,0.023984993,0.072088972,0.194626826,0.097547903,0.084684443,0.164746081,0.031957658,0.039126357,0.283599089,
2019,Females,90-94,,0.010829168,0.031141869,0.061963347,0.130270409,0.122709214,0.097398436,0.181148276,0.025887479,0.041138024,0.297513777,
